Wavelength,Intensity,Absorbance,Reflectance
1394.8845597089498,18248,1.5909945,0.02564517
1398.2473968388674,16400,1.6360081,0.023120213
1401.605945263717,14614,1.6848812,0.02065945
1404.9602049834991,13391,1.7214315,0.018991902
1408.3101759982135,12222,1.7593402,0.01740443
1411.65585830786,11900,1.769463,0.017003449
1414.997251912439,11419,1.7862995,0.01635688
1418.3343568119503,10866,1.8068676,0.015600279
1421.6671730063938,10778,1.8092548,0.015514767
1424.9957004957696,11030,1.7980994,0.015918443
1428.3199392800775,10732,1.8092076,0.015516452
1431.639889359318,10635,1.8127286,0.015391162
1434.9555507334908,10922,1.8004776,0.01583151
1438.2669234025957,10312,1.8251781,0.014956221
1442.675415642408,10264,1.8266801,0.014904588
1445.9767813330218,10628,1.8110491,0.015450796
1449.2738583185678,10376,1.82078,0.01510845
1452.5666465990462,11002,1.7945504,0.016049061
1455.8551461744566,10430,1.8167483,0.015249363
1459.1393570447995,10882,1.7970973,0.015955217
1462.4192792100748,10621,1.8063065,0.01562045
1465.694912670282,10594,1.8060256,0.015630556
1468.9662574254219,10969,1.7893317,0.01624308
1472.233313475494,10823,1.7937403,0.016079023
1475.4960808204983,11185,1.7776824,0.016684666
1478.754559460435,11095,1.7797167,0.016606696
1482.008749395304,11336,1.7685982,0.017037341
1485.2586506251052,11598,1.7568454,0.017504698
1488.5042631498386,11549,1.7565137,0.017518073
1491.7455869695045,11769,1.7462689,0.017936228
1496.060680743398,12080,1.7322426,0.018524965
1499.2919975845725,11829,1.7390791,0.018235635
1502.5190257206796,12293,1.7200876,0.019050762
1505.7417651517185,12585,1.7075167,0.019610256
1508.96021587769,12813,1.6974556,0.02006986
1512.1743778985938,12896,1.6924111,0.020304345
1515.3842512144297,13356,1.6742153,0.021173114
1518.589835825198,13677,1.6610848,0.021823037
1521.7911317308985,13795,1.6544044,0.02216132
1524.9881389315315,14103,1.6419017,0.022808578
1528.1808574270967,14273,1.6339791,0.023228489
1531.3692872175943,14660,1.6190791,0.02403925
1534.553428303024,15234,1.5993719,0.025155218
1537.733280683386,15282,1.5945005,0.025438964
1540.9088443586804,16296,1.5633649,0.027329717
1545.1362579400788,15663,1.5759557,0.026548762
1548.3018146368818,15983,1.563225,0.027338518
1551.4630826286173,16032,1.5577943,0.02768252
1554.6200619152849,16604,1.5386167,0.028932324
1557.7727524968848,16805,1.5293707,0.029554892
1560.921154373417,16921,1.5218918,0.030068254
1564.0652675448816,16905,1.5178376,0.030350253
1567.2050920112786,17303,1.5031264,0.031395953
1570.3406277726076,17047,1.5046074,0.03128906
1573.471874828869,17744,1.4824672,0.03292554
1576.5988331800627,17877,1.4744749,0.033537067
1579.721502826189,17366,1.4822212,0.032944184
1582.839883767247,17174,1.48144,0.0330035
1585.9539760032378,17208,1.4753721,0.033467855
1589.0637795341606,17573,1.460508,0.034633152
1593.2035129230637,17208,1.4618154,0.03452905
1596.3033094754953,17429,1.4501176,0.035471734
1599.3988173228593,17180,1.4497683,0.03550027
1602.4900364651555,17155,1.4437633,0.035994545
1605.576966902384,17104,1.4384074,0.03644119
1608.6596086345448,17052,1.4324162,0.0369474
1611.7379616616379,16837,1.430123,0.037143007
1614.8120259836633,16478,1.4315394,0.037022058
1617.881801600621,16149,1.4321927,0.036966413
1620.947288512511,16296,1.4196508,0.03804952
1624.0084867193332,16256,1.4113526,0.038783528
1627.065396221088,15678,1.4179093,0.038202405
1630.1180170177747,15429,1.4162414,0.0383494
1633.1663491093939,15589,1.4029534,0.0395409
1636.2103924959454,15540,1.3952533,0.040248223
1640.2624456923531,15053,1.3965067,0.040132236
1643.2964821004132,14894,1.3916641,0.04058222
1646.3262298034058,14523,1.3927925,0.040476926
1649.3516888013305,14135,1.3937784,0.04038514
1652.3728590941876,13723,1.3949511,0.040276237
1655.389740681977,13788,1.3799474,0.041691992
1658.4023335646984,12786,1.3971717,0.040070828
1661.4106377423525,12696,1.3824759,0.041449964
1664.4146532149387,12330,1.3740046,0.042266414
1667.4143799824571,11407,1.3811873,0.041573122
1670.409818044908,10463,1.3841727,0.04128833
1673.4009674022911,9303,1.3915613,0.04059184
1676.3878280546066,8586,1.3742205,0.042245414
1679.3704000018543,7876,1.3518221,0.044481345
1682.3486832440344,6427,1.3734237,0.04232299
1686.3130562479469,5214,1.369822,0.04267544
1689.2813325116356,4685,1.3428607,0.045408726
1692.2453200702566,3425,1.4104041,0.038868334
1695.2050189238098,3167,1.376729,0.042002097
1698.1604290722955,2780,1.3679589,0.042858906
1701.1115505157134,2157,1.4184211,0.038157407
