Wavelength,Intensity,Absorbance,Reflectance
1391.5174338739648,17637,1.6075417,0.024686433
1394.8845597089498,13325,1.7275425,0.018726539
1398.2473968388674,10854,1.8152622,0.015301635
1401.605945263717,9006,1.8951184,0.01273156
1404.9602049834991,8339,1.9271306,0.011826859
1408.3101759982135,6850,2.010792,0.009754569
1411.65585830786,6806,2.012118,0.00972483
1414.997251912439,6442,2.0349069,0.009227693
1418.3343568119503,6028,2.0627642,0.008654379
1421.6671730063938,5473,2.1035674,0.0078783
1424.9957004957696,5767,2.079725,0.008322907
1428.3199392800775,5872,2.0711021,0.008489806
1431.639889359318,5337,2.1121688,0.0077238013
1434.9555507334908,4925,2.1463735,0.0071388194
1438.2669234025957,4423,2.192804,0.0064149885
1442.675415642408,4529,2.1819944,0.0065766643
1445.9767813330218,4798,2.1564405,0.0069752466
1449.2738583185678,4481,2.185435,0.0065247654
1452.5666465990462,4288,2.2037673,0.006255078
1455.8551461744566,4293,2.2022717,0.0062766555
1459.1393570447995,3894,2.24341,0.005709393
1462.4192792100748,4285,2.200521,0.006302008
1465.694912670282,3958,2.2336097,0.005839696
1468.9662574254219,4763,2.151618,0.0070531303
1472.233313475494,4489,2.1759384,0.0066690138
1475.4960808204983,4853,2.1403081,0.007239221
1478.754559460435,5078,2.1191514,0.007600613
1482.008749395304,5111,2.114552,0.0076815328
1485.2586506251052,5555,2.0765445,0.008384083
1488.5042631498386,5999,2.0409791,0.009099569
1491.7455869695045,6337,2.0151248,0.009657735
1496.060680743398,6322,2.0134552,0.009694936
1499.2919975845725,6648,1.9893361,0.010248584
1502.5190257206796,7259,1.9488688,0.01124945
1505.7417651517185,7308,1.9435714,0.011387506
1508.96021587769,7503,1.9298716,0.011752452
1512.1743778985938,7621,1.9208541,0.011999024
1515.3842512144297,8650,1.8628756,0.013712746
1518.589835825198,8136,1.8866647,0.012981812
1521.7911317308985,8475,1.8659863,0.013614873
1524.9881389315315,8406,1.8666239,0.013594902
1528.1808574270967,8796,1.8442091,0.014314985
1531.3692872175943,8887,1.8364578,0.01457277
1534.553428303024,9166,1.820006,0.015135403
1537.733280683386,9053,1.8218882,0.015069948
1540.9088443586804,9327,1.8057039,0.015642138
1545.1362579400788,9929,1.7739252,0.016829642
1548.3018146368818,10205,1.7580703,0.017455395
1551.4630826286173,9855,1.7691255,0.01701667
1554.6200619152849,10508,1.7373093,0.018310098
1557.7727524968848,10611,1.7290528,0.018661527
1560.921154373417,10725,1.7199205,0.019058095
1564.0652675448816,11133,1.6992407,0.01998754
1567.2050920112786,11532,1.6793431,0.020924587
1570.3406277726076,11699,1.6681067,0.02147303
1573.471874828869,12306,1.6414018,0.022834854
1576.5988331800627,12605,1.6262268,0.023646848
1579.721502826189,12644,1.6200365,0.023986312
1582.839883767247,13035,1.6012003,0.025049532
1585.9539760032378,13060,1.5951593,0.025400406
1589.0637795341606,13714,1.5681897,0.027027773
1593.2035129230637,13723,1.5600967,0.027536154
1596.3033094754953,13759,1.5528032,0.028002499
1599.3988173228593,14009,1.5383844,0.028947804
1602.4900364651555,14349,1.5213324,0.030107008
1605.576966902384,14029,1.5244784,0.029889701
1608.6596086345448,14096,1.5150956,0.03054249
1611.7379616616379,14013,1.5098565,0.030913167
1614.8120259836633,14049,1.5007985,0.031564686
1617.881801600621,13502,1.5099401,0.03090721
1620.947288512511,13711,1.4946628,0.032013804
1624.0084867193332,13394,1.4954561,0.031955376
1627.065396221088,13315,1.4888588,0.03244451
1630.1180170177747,12841,1.4959804,0.031916823
1633.1663491093939,12548,1.4971972,0.03182752
1636.2103924959454,12005,1.5073421,0.031092659
1640.2624456923531,12386,1.4811987,0.03302185
1643.2964821004132,12104,1.4817467,0.032980207
1646.3262298034058,11060,1.5110937,0.03082523
1649.3516888013305,11773,1.4731871,0.033636663
1652.3728590941876,11724,1.4633243,0.034409285
1655.389740681977,10929,1.4808682,0.03304698
1658.4023335646984,10538,1.4811482,0.033025682
1661.4106377423525,10724,1.455786,0.03501177
1664.4146532149387,10048,1.4628881,0.03444387
1667.4143799824571,9700,1.4515871,0.035351917
1670.409818044908,9473,1.4273413,0.037381664
1673.4009674022911,9025,1.4047371,0.03937884
1676.3878280546066,8492,1.3790014,0.04178291
1679.3704000018543,6931,1.407332,0.03914426
1682.3486832440344,6748,1.3522569,0.044436835
1686.3130562479469,5528,1.344425,0.04524546
1689.2813325116356,4565,1.3541294,0.04424564
1692.2453200702566,3960,1.3473694,0.04493974
1695.2050189238098,3250,1.3654938,0.043102875
1698.1604290722955,2983,1.3373505,0.04598853
1701.1115505157134,3027,1.2712588,0.053547736
